type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,0,0,1,4,1,0.985,126.0,1.0,0.0,71.0
0,0,1,1,4,1,0.985,131.0,1.0,0.0,66.0
0,0,2,1,4,1,0.985,144.0,1.0,0.0,53.0
0,0,3,1,4,1,0.98,114.0,0.0,2.0,82.0
0,0,4,1,4,1,0.985,141.0,1.0,0.0,56.0
0,0,5,1,4,1,0.985,127.0,0.0,1.0,70.0
0,0,6,1,4,1,0.98,121.0,0.0,2.0,75.0
0,0,7,1,4,1,0.98,119.0,0.0,2.0,77.0
0,0,8,1,4,1,0.98,120.0,0.0,2.0,76.0
0,0,9,1,4,1,0.985,134.0,0.0,1.0,63.0
0,0,10,1,4,1,0.985,116.0,0.0,1.0,81.0
0,0,11,1,4,1,0.98,122.0,0.0,2.0,74.0
0,0,12,1,4,1,0.98,122.0,1.0,1.0,74.0
0,0,13,1,4,1,0.985,122.0,1.0,0.0,75.0
0,0,14,1,4,1,0.985,133.0,0.0,1.0,64.0
0,0,15,1,4,1,0.985,129.0,1.0,0.0,68.0
0,0,16,1,4,1,0.98,132.0,0.0,2.0,64.0
0,0,17,1,4,1,0.99,123.0,0.0,0.0,75.0
0,0,18,1,4,1,0.98,110.0,2.0,0.0,86.0
0,0,19,1,4,1,0.985,134.0,0.0,1.0,63.0
0,0,20,1,4,1,0.99,139.0,0.0,0.0,59.0
0,0,21,1,4,1,0.985,120.0,1.0,0.0,77.0
0,0,22,1,4,1,0.98,131.0,1.0,1.0,65.0
0,0,23,1,4,1,0.98,129.0,2.0,0.0,67.0
0,0,24,1,4,1,0.985,135.0,0.0,1.0,62.0
0,1,0,1,5,1,0.98,147.0,2.0,0.0,49.0
0,1,1,1,5,1,0.985,158.0,0.0,1.0,39.0
0,1,2,1,5,1,0.98,154.0,1.0,1.0,42.0
0,1,3,1,5,1,0.985,153.0,0.0,1.0,44.0
0,1,4,1,5,1,0.985,143.0,0.0,1.0,54.0
0,1,5,1,5,1,0.98,144.0,0.0,2.0,52.0
0,1,6,1,5,1,0.985,150.0,0.0,1.0,47.0
0,1,7,1,5,1,0.98,150.0,2.0,0.0,46.0
0,1,8,1,5,1,0.97,143.0,1.0,3.0,51.0
0,1,9,1,5,1,0.985,144.0,0.0,1.0,53.0
0,1,10,1,5,1,0.98,142.0,2.0,0.0,54.0
0,1,11,1,5,1,0.985,140.0,1.0,0.0,57.0
0,1,12,1,5,1,0.985,149.0,1.0,0.0,48.0
0,1,13,1,5,1,0.985,142.0,0.0,1.0,55.0
0,1,14,1,5,1,0.985,140.0,1.0,0.0,57.0
0,1,15,1,5,1,0.985,135.0,1.0,0.0,62.0
0,1,16,1,5,1,0.985,149.0,0.0,1.0,48.0
0,1,17,1,5,1,0.99,136.0,0.0,0.0,62.0
0,1,18,1,5,1,0.975,154.0,1.0,2.0,41.0
0,1,19,1,5,1,0.985,151.0,1.0,0.0,46.0
0,1,20,1,5,1,0.985,146.0,1.0,0.0,51.0
0,1,21,1,5,1,0.985,141.0,1.0,0.0,56.0
0,1,22,1,5,1,0.98,149.0,1.0,1.0,47.0
0,1,23,1,5,1,0.985,149.0,0.0,1.0,48.0
0,1,24,1,5,1,0.985,146.0,0.0,1.0,51.0
0,2,0,1,6,1,0.985,3.0,1.0,0.0,194.0
0,2,1,1,6,1,0.985,2.0,1.0,0.0,195.0
0,2,2,1,6,1,0.985,7.0,1.0,0.0,190.0
0,2,3,1,6,1,0.985,6.0,1.0,0.0,191.0
0,2,4,1,6,1,0.985,9.0,1.0,0.0,188.0
0,2,5,1,6,1,0.99,6.0,0.0,0.0,192.0
0,2,6,1,6,1,0.97,9.0,2.0,2.0,185.0
0,2,7,1,6,1,0.985,5.0,1.0,0.0,192.0
0,2,8,1,6,1,0.985,10.0,1.0,0.0,187.0
0,2,9,1,6,1,0.985,7.0,1.0,0.0,190.0
0,2,10,1,6,1,0.985,5.0,1.0,0.0,192.0
0,2,11,1,6,1,0.985,5.0,1.0,0.0,192.0
0,2,12,1,6,1,0.985,4.0,1.0,0.0,193.0
0,2,13,1,6,1,0.985,4.0,1.0,0.0,193.0
0,2,14,1,6,1,0.985,4.0,1.0,0.0,193.0
0,2,15,1,6,1,0.985,10.0,1.0,0.0,187.0
0,2,16,1,6,1,0.985,7.0,1.0,0.0,190.0
0,2,17,1,6,1,0.985,7.0,1.0,0.0,190.0
0,2,18,1,6,1,0.985,8.0,1.0,0.0,189.0
0,2,19,1,6,1,0.985,5.0,1.0,0.0,192.0
0,2,20,1,6,1,0.985,3.0,1.0,0.0,194.0
0,2,21,1,6,1,0.985,8.0,1.0,0.0,189.0
0,2,22,1,6,1,0.99,6.0,0.0,0.0,192.0
0,2,23,1,6,1,0.985,6.0,1.0,0.0,191.0
0,2,24,1,6,1,0.985,5.0,1.0,0.0,192.0
0,3,0,1,7,1,0.975,76.0,1.0,2.0,119.0
0,3,1,1,7,1,0.975,91.0,0.0,3.0,104.0
0,3,2,1,7,1,0.99,82.0,0.0,0.0,116.0
0,3,3,1,7,1,0.98,83.0,1.0,1.0,113.0
0,3,4,1,7,1,0.985,83.0,1.0,0.0,114.0
0,3,5,1,7,1,0.98,77.0,0.0,2.0,119.0
0,3,6,1,7,1,0.98,69.0,2.0,0.0,127.0
0,3,7,1,7,1,0.985,92.0,1.0,0.0,105.0
0,3,8,1,7,1,0.975,81.0,2.0,1.0,114.0
0,3,9,1,7,1,0.99,101.0,0.0,0.0,97.0
0,3,10,1,7,1,0.985,84.0,1.0,0.0,113.0
0,3,11,1,7,1,0.98,90.0,0.0,2.0,106.0
0,3,12,1,7,1,0.98,85.0,1.0,1.0,111.0
0,3,13,1,7,1,0.985,92.0,1.0,0.0,105.0
0,3,14,1,7,1,0.985,85.0,1.0,0.0,112.0
0,3,15,1,7,1,0.975,89.0,1.0,2.0,106.0
0,3,16,1,7,1,0.98,79.0,2.0,0.0,117.0
0,3,17,1,7,1,0.985,80.0,0.0,1.0,117.0
0,3,18,1,7,1,0.98,85.0,0.0,2.0,111.0
0,3,19,1,7,1,0.985,89.0,1.0,0.0,108.0
0,3,20,1,7,1,0.98,84.0,2.0,0.0,112.0
0,3,21,1,7,1,0.98,76.0,1.0,1.0,120.0
0,3,22,1,7,1,0.98,85.0,2.0,0.0,111.0
0,3,23,1,7,1,0.985,89.0,1.0,0.0,108.0
0,3,24,1,7,1,0.98,79.0,1.0,1.0,117.0
0,4,0,1,8,1,0.985,189.0,0.0,1.0,8.0
0,4,1,1,8,1,0.98,191.0,1.0,1.0,5.0
0,4,2,1,8,1,0.985,192.0,0.0,1.0,5.0
0,4,3,1,8,1,0.98,187.0,1.0,1.0,9.0
0,4,4,1,8,1,0.985,186.0,0.0,1.0,11.0
0,4,5,1,8,1,0.985,191.0,0.0,1.0,6.0
0,4,6,1,8,1,0.985,190.0,0.0,1.0,7.0
0,4,7,1,8,1,0.985,189.0,0.0,1.0,8.0
0,4,8,1,8,1,0.985,187.0,0.0,1.0,10.0
0,4,9,1,8,1,0.985,189.0,0.0,1.0,8.0
0,4,10,1,8,1,0.975,184.0,2.0,1.0,11.0
0,4,11,1,8,1,0.985,188.0,1.0,0.0,9.0
0,4,12,1,8,1,0.985,192.0,0.0,1.0,5.0
0,4,13,1,8,1,0.985,191.0,0.0,1.0,6.0
0,4,14,1,8,1,0.975,187.0,2.0,1.0,8.0
0,4,15,1,8,1,0.98,189.0,1.0,1.0,7.0
0,4,16,1,8,1,0.985,190.0,0.0,1.0,7.0
0,4,17,1,8,1,0.985,194.0,0.0,1.0,3.0
0,4,18,1,8,1,0.985,184.0,0.0,1.0,13.0
0,4,19,1,8,1,0.985,189.0,0.0,1.0,8.0
0,4,20,1,8,1,0.985,188.0,0.0,1.0,9.0
0,4,21,1,8,1,0.985,190.0,0.0,1.0,7.0
0,4,22,1,8,1,0.985,188.0,0.0,1.0,9.0
0,4,23,1,8,1,0.985,186.0,0.0,1.0,11.0
0,4,24,1,8,1,0.98,188.0,0.0,2.0,8.0
0,5,0,1,9,1,0.985,171.0,0.0,1.0,26.0
0,5,1,1,9,1,0.985,184.0,1.0,0.0,13.0
0,5,2,1,9,1,0.985,173.0,0.0,1.0,24.0
0,5,3,1,9,1,0.985,178.0,0.0,1.0,19.0
0,5,4,1,9,1,0.985,175.0,0.0,1.0,22.0
0,5,5,1,9,1,0.985,176.0,0.0,1.0,21.0
0,5,6,1,9,1,0.975,174.0,2.0,1.0,21.0
0,5,7,1,9,1,0.985,184.0,0.0,1.0,13.0
0,5,8,1,9,1,0.985,176.0,0.0,1.0,21.0
0,5,9,1,9,1,0.985,170.0,0.0,1.0,27.0
0,5,10,1,9,1,0.98,176.0,1.0,1.0,20.0
0,5,11,1,9,1,0.985,178.0,0.0,1.0,19.0
0,5,12,1,9,1,0.985,184.0,0.0,1.0,13.0
0,5,13,1,9,1,0.985,178.0,0.0,1.0,19.0
0,5,14,1,9,1,0.98,190.0,0.0,2.0,6.0
0,5,15,1,9,1,0.985,186.0,1.0,0.0,11.0
0,5,16,1,9,1,0.985,180.0,0.0,1.0,17.0
0,5,17,1,9,1,0.985,175.0,1.0,0.0,22.0
0,5,18,1,9,1,0.985,180.0,0.0,1.0,17.0
0,5,19,1,9,1,0.98,172.0,1.0,1.0,24.0
0,5,20,1,9,1,0.975,176.0,1.0,2.0,19.0
0,5,21,1,9,1,0.985,182.0,0.0,1.0,15.0
0,5,22,1,9,1,0.985,170.0,0.0,1.0,27.0
0,5,23,1,9,1,0.98,179.0,0.0,2.0,17.0
0,5,24,1,9,1,0.985,180.0,0.0,1.0,17.0
0,6,0,1,10,1,0.985,26.0,1.0,0.0,171.0
0,6,1,1,10,1,0.985,38.0,1.0,0.0,159.0
0,6,2,1,10,1,0.975,22.0,0.0,3.0,173.0
0,6,3,1,10,1,0.97,23.0,2.0,2.0,171.0
0,6,4,1,10,1,0.97,28.0,1.0,3.0,166.0
0,6,5,1,10,1,0.985,27.0,1.0,0.0,170.0
0,6,6,1,10,1,0.985,22.0,1.0,0.0,175.0
0,6,7,1,10,1,0.98,29.0,1.0,1.0,167.0
0,6,8,1,10,1,0.985,27.0,0.0,1.0,170.0
0,6,9,1,10,1,0.98,25.0,0.0,2.0,171.0
0,6,10,1,10,1,0.985,24.0,1.0,0.0,173.0
0,6,11,1,10,1,0.99,21.0,0.0,0.0,177.0
0,6,12,1,10,1,0.985,26.0,0.0,1.0,171.0
0,6,13,1,10,1,0.985,34.0,1.0,0.0,163.0
0,6,14,1,10,1,0.985,28.0,1.0,0.0,169.0
0,6,15,1,10,1,0.975,19.0,0.0,3.0,176.0
0,6,16,1,10,1,0.98,26.0,1.0,1.0,170.0
0,6,17,1,10,1,0.985,29.0,1.0,0.0,168.0
0,6,18,1,10,1,0.98,25.0,1.0,1.0,171.0
0,6,19,1,10,1,0.985,26.0,1.0,0.0,171.0
0,6,20,1,10,1,0.975,30.0,1.0,2.0,165.0
0,6,21,1,10,1,0.985,20.0,1.0,0.0,177.0
0,6,22,1,10,1,0.98,23.0,2.0,0.0,173.0
0,6,23,1,10,1,0.98,36.0,0.0,2.0,160.0
0,6,24,1,10,1,0.98,28.0,0.0,2.0,168.0
0,7,0,1,11,1,0.985,70.0,1.0,0.0,127.0
0,7,1,1,11,1,0.98,80.0,1.0,1.0,116.0
0,7,2,1,11,1,0.98,70.0,1.0,1.0,126.0
0,7,3,1,11,1,0.965,62.0,3.0,2.0,131.0
0,7,4,1,11,1,0.985,59.0,1.0,0.0,138.0
0,7,5,1,11,1,0.975,68.0,2.0,1.0,127.0
0,7,6,1,11,1,0.98,63.0,1.0,1.0,133.0
0,7,7,1,11,1,0.98,67.0,1.0,1.0,129.0
0,7,8,1,11,1,0.975,73.0,2.0,1.0,122.0
0,7,9,1,11,1,0.98,72.0,0.0,2.0,124.0
0,7,10,1,11,1,0.975,78.0,1.0,2.0,117.0
0,7,11,1,11,1,0.985,70.0,1.0,0.0,127.0
0,7,12,1,11,1,0.96,68.0,3.0,3.0,124.0
0,7,13,1,11,1,0.98,77.0,2.0,0.0,119.0
0,7,14,1,11,1,0.97,77.0,2.0,2.0,117.0
0,7,15,1,11,1,0.985,78.0,1.0,0.0,119.0
0,7,16,1,11,1,0.975,68.0,2.0,1.0,127.0
