type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,0,0,1,3,1,0.985,48.0,1.0,0.0,149.0
0,0,1,1,3,1,0.98,50.0,1.0,1.0,146.0
0,0,2,1,3,1,0.985,48.0,1.0,0.0,149.0
0,0,3,1,3,1,0.985,48.0,1.0,0.0,149.0
0,0,4,1,3,1,0.985,65.0,0.0,1.0,132.0
0,0,5,1,3,1,0.985,45.0,1.0,0.0,152.0
0,0,6,1,3,1,0.99,56.0,0.0,0.0,142.0
0,0,7,1,3,1,0.985,50.0,0.0,1.0,147.0
0,0,8,1,3,1,0.985,56.0,1.0,0.0,141.0
0,0,9,1,3,1,0.985,50.0,1.0,0.0,147.0
0,0,10,1,3,1,0.99,43.0,0.0,0.0,155.0
0,0,11,1,3,1,0.985,55.0,1.0,0.0,142.0
0,0,12,1,3,1,0.985,51.0,1.0,0.0,146.0
0,0,13,1,3,1,0.985,52.0,1.0,0.0,145.0
0,0,14,1,3,1,0.985,47.0,0.0,1.0,150.0
0,0,15,1,3,1,0.98,56.0,1.0,1.0,140.0
0,0,16,1,3,1,0.985,53.0,1.0,0.0,144.0
0,0,17,1,3,1,0.99,53.0,0.0,0.0,145.0
0,0,18,1,3,1,0.985,55.0,1.0,0.0,142.0
0,0,19,1,3,1,0.985,57.0,1.0,0.0,140.0
0,0,20,1,3,1,0.985,53.0,1.0,0.0,144.0
0,0,21,1,3,1,0.985,55.0,1.0,0.0,142.0
0,0,22,1,3,1,0.985,48.0,1.0,0.0,149.0
0,0,23,1,3,1,0.985,47.0,1.0,0.0,150.0
0,0,24,1,3,1,0.985,48.0,0.0,1.0,149.0
0,1,0,1,4,1,0.98,47.0,1.0,1.0,149.0
0,1,1,1,4,1,0.985,43.0,1.0,0.0,154.0
0,1,2,1,4,1,0.985,41.0,1.0,0.0,156.0
0,1,3,1,4,1,0.985,39.0,1.0,0.0,158.0
0,1,4,1,4,1,0.98,38.0,2.0,0.0,158.0
0,1,5,1,4,1,0.985,51.0,1.0,0.0,146.0
0,1,6,1,4,1,0.985,41.0,1.0,0.0,156.0
0,1,7,1,4,1,0.985,47.0,1.0,0.0,150.0
0,1,8,1,4,1,0.975,30.0,3.0,0.0,165.0
0,1,9,1,4,1,0.985,37.0,1.0,0.0,160.0
0,1,10,1,4,1,0.99,50.0,0.0,0.0,148.0
0,1,11,1,4,1,0.985,42.0,1.0,0.0,155.0
0,1,12,1,4,1,0.985,33.0,1.0,0.0,164.0
0,1,13,1,4,1,0.98,50.0,2.0,0.0,146.0
0,1,14,1,4,1,0.98,56.0,2.0,0.0,140.0
0,1,15,1,4,1,0.985,47.0,1.0,0.0,150.0
0,1,16,1,4,1,0.98,45.0,0.0,2.0,151.0
0,1,17,1,4,1,0.98,34.0,1.0,1.0,162.0
0,1,18,1,4,1,0.99,46.0,0.0,0.0,152.0
0,1,19,1,4,1,0.99,37.0,0.0,0.0,161.0
0,1,20,1,4,1,0.985,39.0,1.0,0.0,158.0
0,1,21,1,4,1,0.985,51.0,1.0,0.0,146.0
0,1,22,1,4,1,0.985,45.0,1.0,0.0,152.0
0,1,23,1,4,1,0.99,40.0,0.0,0.0,158.0
0,1,24,1,4,1,0.985,36.0,1.0,0.0,161.0
0,2,0,1,5,1,0.98,121.0,0.0,2.0,75.0
0,2,1,1,5,1,0.98,130.0,1.0,1.0,66.0
0,2,2,1,5,1,0.98,132.0,0.0,2.0,64.0
0,2,3,1,5,1,0.975,136.0,3.0,0.0,59.0
0,2,4,1,5,1,0.985,132.0,1.0,0.0,65.0
0,2,5,1,5,1,0.98,125.0,2.0,0.0,71.0
0,2,6,1,5,1,0.98,122.0,2.0,0.0,74.0
0,2,7,1,5,1,0.975,126.0,3.0,0.0,69.0
0,2,8,1,5,1,0.975,126.0,3.0,0.0,69.0
0,2,9,1,5,1,0.98,121.0,0.0,2.0,75.0
0,2,10,1,5,1,0.985,135.0,1.0,0.0,62.0
0,2,11,1,5,1,0.97,144.0,2.0,2.0,50.0
0,2,12,1,5,1,0.99,126.0,0.0,0.0,72.0
0,2,13,1,5,1,0.985,134.0,0.0,1.0,63.0
0,2,14,1,5,1,0.985,122.0,1.0,0.0,75.0
0,2,15,1,5,1,0.985,121.0,1.0,0.0,76.0
0,2,16,1,5,1,0.975,133.0,1.0,2.0,62.0
0,2,17,1,5,1,0.985,141.0,1.0,0.0,56.0
0,2,18,1,5,1,0.98,130.0,1.0,1.0,66.0
0,2,19,1,5,1,0.98,132.0,2.0,0.0,64.0
0,2,20,1,5,1,0.985,128.0,1.0,0.0,69.0
0,2,21,1,5,1,0.985,138.0,1.0,0.0,59.0
0,2,22,1,5,1,0.98,124.0,1.0,1.0,72.0
0,2,23,1,5,1,0.975,137.0,1.0,2.0,58.0
0,2,24,1,5,1,0.985,133.0,0.0,1.0,64.0
0,3,0,1,6,1,0.985,48.0,1.0,0.0,149.0
0,3,1,1,6,1,0.98,46.0,1.0,1.0,150.0
0,3,2,1,6,1,0.98,44.0,2.0,0.0,152.0
0,3,3,1,6,1,0.985,51.0,1.0,0.0,146.0
