type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,0,0,1,3,1,0.99,142.0,0.0,1.0,56.0,0.18238592147827148
0,0,1,1,3,1,0.99,143.0,0.0,1.0,55.0,0.17422986030578613
0,0,2,1,3,1,0.99,145.0,1.0,0.0,53.0,0.17388916015625
0,0,3,1,3,1,0.99,155.0,0.0,1.0,43.0,0.17077279090881348
0,0,4,1,3,1,0.99,147.0,1.0,0.0,51.0,0.16985559463500977
0,0,5,1,3,1,0.99,156.0,0.0,1.0,42.0,0.18643403053283691
0,0,6,1,3,1,0.99,141.0,0.0,1.0,57.0,0.16298460960388184
0,0,7,1,3,1,0.99,150.0,0.0,1.0,48.0,0.16701650619506836
0,0,8,1,3,1,0.99,153.0,0.0,1.0,45.0,0.1742544174194336
0,0,9,1,3,1,0.99,150.0,0.0,1.0,48.0,0.16200995445251465
0,0,10,1,3,1,0.99,143.0,0.0,1.0,55.0,0.16949009895324707
0,0,11,1,3,1,0.985,136.0,1.0,1.0,61.0,0.18407559394836426
0,0,12,1,3,1,0.985,138.0,2.0,0.0,59.0,0.16849136352539062
0,0,13,1,3,1,0.99,137.0,0.0,1.0,61.0,0.1404414176940918
0,0,14,1,3,1,0.99,160.0,0.0,1.0,38.0,0.14742469787597656
0,0,15,1,3,1,0.99,151.0,1.0,0.0,47.0,0.12787199020385742
0,0,16,1,3,1,0.99,151.0,0.0,1.0,47.0,0.1300954818725586
0,0,17,1,3,1,0.99,159.0,0.0,1.0,39.0,0.12981128692626953
0,0,18,1,3,1,0.99,147.0,1.0,0.0,51.0,0.13791441917419434
0,0,19,1,3,1,0.99,152.0,0.0,1.0,46.0,0.1359713077545166
0,0,20,1,3,1,0.99,154.0,1.0,0.0,44.0,0.1375420093536377
0,0,21,1,3,1,0.99,153.0,0.0,1.0,45.0,0.1363356113433838
0,0,22,1,3,1,0.99,152.0,0.0,1.0,46.0,0.13793468475341797
0,0,23,1,3,1,0.99,141.0,0.0,1.0,57.0,0.138016939163208
0,0,24,1,3,1,0.99,149.0,0.0,1.0,49.0,0.13076114654541016
0,1,0,1,4,1,0.99,47.0,1.0,0.0,151.0,0.1333155632019043
0,1,1,1,4,1,0.99,53.0,0.0,1.0,145.0,0.15917706489562988
0,1,2,1,4,1,0.99,35.0,1.0,0.0,163.0,0.13304948806762695
0,1,3,1,4,1,0.99,46.0,1.0,0.0,152.0,0.13233709335327148
0,1,4,1,4,1,0.99,36.0,1.0,0.0,162.0,0.1419668197631836
0,1,5,1,4,1,0.99,51.0,0.0,1.0,147.0,0.13103294372558594
0,1,6,1,4,1,0.985,41.0,2.0,0.0,156.0,0.13938140869140625
0,1,7,1,4,1,0.99,52.0,1.0,0.0,146.0,0.13701820373535156
0,1,8,1,4,1,0.99,42.0,1.0,0.0,156.0,0.13796401023864746
0,1,9,1,4,1,0.99,38.0,0.0,1.0,160.0,0.1330573558807373
0,1,10,1,4,1,0.99,40.0,1.0,0.0,158.0,0.13394570350646973
0,1,11,1,4,1,0.99,38.0,1.0,0.0,160.0,0.14709234237670898
0,1,12,1,4,1,0.99,48.0,1.0,0.0,150.0,0.12990927696228027
0,1,13,1,4,1,0.99,47.0,1.0,0.0,151.0,0.14994263648986816
0,1,14,1,4,1,0.99,52.0,0.0,1.0,146.0,0.15659666061401367
