type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,0,0,1,3,1,0.98,52.0,1.0,1.0,144.0
0,0,1,1,3,1,0.98,61.0,0.0,2.0,135.0
0,0,2,1,3,1,0.99,51.0,0.0,0.0,147.0
0,0,3,1,3,1,0.985,63.0,1.0,0.0,134.0
0,0,4,1,3,1,0.985,56.0,1.0,0.0,141.0
0,0,5,1,3,1,0.99,60.0,0.0,0.0,138.0
0,0,6,1,3,1,0.985,55.0,1.0,0.0,142.0
0,0,7,1,3,1,0.985,52.0,1.0,0.0,145.0
0,0,8,1,3,1,0.985,54.0,1.0,0.0,143.0
0,0,9,1,3,1,0.98,60.0,1.0,1.0,136.0
0,0,10,1,3,1,0.985,58.0,1.0,0.0,139.0
0,0,11,1,3,1,0.985,52.0,0.0,1.0,145.0
0,0,12,1,3,1,0.98,44.0,0.0,2.0,152.0
0,0,13,1,3,1,0.98,61.0,0.0,2.0,135.0
0,0,14,1,3,1,0.99,68.0,0.0,0.0,130.0
0,0,15,1,3,1,0.975,65.0,2.0,1.0,130.0
0,0,16,1,3,1,0.98,52.0,1.0,1.0,144.0
0,0,17,1,3,1,0.985,53.0,1.0,0.0,144.0
0,0,18,1,3,1,0.985,63.0,1.0,0.0,134.0
0,0,19,1,3,1,0.985,52.0,1.0,0.0,145.0
0,0,20,1,3,1,0.99,60.0,0.0,0.0,138.0
0,0,21,1,3,1,0.985,57.0,1.0,0.0,140.0
0,0,22,1,3,1,0.99,56.0,0.0,0.0,142.0
0,0,23,1,3,1,0.985,52.0,0.0,1.0,145.0
0,0,24,1,3,1,0.985,61.0,1.0,0.0,136.0
0,1,0,1,4,1,0.98,87.0,2.0,0.0,109.0
0,1,1,1,4,1,0.985,89.0,1.0,0.0,108.0
0,1,2,1,4,1,0.98,88.0,1.0,1.0,108.0
0,1,3,1,4,1,0.99,82.0,0.0,0.0,116.0
0,1,4,1,4,1,0.985,80.0,1.0,0.0,117.0
0,1,5,1,4,1,0.985,83.0,1.0,0.0,114.0
0,1,6,1,4,1,0.975,86.0,3.0,0.0,109.0
0,1,7,1,4,1,0.98,99.0,1.0,1.0,97.0
0,1,8,1,4,1,0.98,91.0,2.0,0.0,105.0
0,1,9,1,4,1,0.975,76.0,2.0,1.0,119.0
0,1,10,1,4,1,0.98,79.0,2.0,0.0,117.0
0,1,11,1,4,1,0.99,83.0,0.0,0.0,115.0
0,1,12,1,4,1,0.99,81.0,0.0,0.0,117.0
0,1,13,1,4,1,0.985,90.0,1.0,0.0,107.0
0,1,14,1,4,1,0.985,82.0,1.0,0.0,115.0
0,1,15,1,4,1,0.975,84.0,2.0,1.0,111.0
0,1,16,1,4,1,0.985,88.0,0.0,1.0,109.0
0,1,17,1,4,1,0.98,81.0,1.0,1.0,115.0
0,1,18,1,4,1,0.98,91.0,0.0,2.0,105.0
0,1,19,1,4,1,0.985,87.0,0.0,1.0,110.0
0,1,20,1,4,1,0.99,86.0,0.0,0.0,112.0
0,1,21,1,4,1,0.985,89.0,0.0,1.0,108.0
0,1,22,1,4,1,0.985,77.0,1.0,0.0,120.0
0,1,23,1,4,1,0.985,82.0,1.0,0.0,115.0
0,1,24,1,4,1,0.99,94.0,0.0,0.0,104.0
0,2,0,1,5,1,0.98,60.0,0.0,2.0,136.0
0,2,1,1,5,1,0.98,55.0,1.0,1.0,141.0
0,2,2,1,5,1,0.98,69.0,0.0,2.0,127.0
0,2,3,1,5,1,0.98,54.0,1.0,1.0,142.0
0,2,4,1,5,1,0.985,60.0,1.0,0.0,137.0
0,2,5,1,5,1,0.98,66.0,2.0,0.0,130.0
0,2,6,1,5,1,0.98,53.0,2.0,0.0,143.0
0,2,7,1,5,1,0.98,56.0,0.0,2.0,140.0
0,2,8,1,5,1,0.985,59.0,1.0,0.0,138.0
0,2,9,1,5,1,0.985,42.0,1.0,0.0,155.0
0,2,10,1,5,1,0.98,55.0,2.0,0.0,141.0
0,2,11,1,5,1,0.985,65.0,0.0,1.0,132.0
0,2,12,1,5,1,0.985,63.0,1.0,0.0,134.0
0,2,13,1,5,1,0.98,55.0,2.0,0.0,141.0
0,2,14,1,5,1,0.985,55.0,1.0,0.0,142.0
0,2,15,1,5,1,0.98,54.0,2.0,0.0,142.0
0,2,16,1,5,1,0.975,62.0,1.0,2.0,133.0
0,2,17,1,5,1,0.985,58.0,1.0,0.0,139.0
0,2,18,1,5,1,0.985,63.0,1.0,0.0,134.0
0,2,19,1,5,1,0.99,68.0,0.0,0.0,130.0
0,2,20,1,5,1,0.99,53.0,0.0,0.0,145.0
0,2,21,1,5,1,0.98,60.0,1.0,1.0,136.0
0,2,22,1,5,1,0.98,57.0,2.0,0.0,139.0
0,2,23,1,5,1,0.98,57.0,0.0,2.0,139.0
0,2,24,1,5,1,0.985,53.0,0.0,1.0,144.0
0,3,0,1,6,1,0.985,64.0,1.0,0.0,133.0
0,3,1,1,6,1,0.985,74.0,1.0,0.0,123.0
0,3,2,1,6,1,0.985,57.0,1.0,0.0,140.0
0,3,3,1,6,1,0.98,70.0,2.0,0.0,126.0
0,3,4,1,6,1,0.985,75.0,1.0,0.0,122.0
0,3,5,1,6,1,0.99,64.0,0.0,0.0,134.0
0,3,6,1,6,1,0.975,66.0,3.0,0.0,129.0
