type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,0,0,1,3,1,0.98,153.0,1.0,2.0,43.0,1.697688341140747
0,0,1,1,3,1,0.965,149.0,1.0,5.0,44.0,1.617999792098999
0,0,2,1,3,1,0.965,150.0,1.0,5.0,43.0,1.5799989700317383
0,0,3,1,3,1,0.99,147.0,0.0,1.0,51.0,1.698000192642212
0,0,4,1,3,1,0.98,154.0,2.0,1.0,42.0,1.5789976119995117
0,0,5,1,3,1,0.985,152.0,2.0,0.0,45.0,1.6239988803863525
0,0,6,1,3,1,0.98,149.0,0.0,3.0,47.0,1.6429686546325684
0,0,7,1,3,1,0.975,150.0,3.0,1.0,45.0,1.6790006160736084
0,0,8,1,3,1,0.975,139.0,4.0,0.0,56.0,1.7060301303863525
0,0,9,1,3,1,0.98,148.0,1.0,2.0,48.0,1.640009880065918
0,0,10,1,3,1,0.965,155.0,3.0,3.0,38.0,1.5540015697479248
0,0,11,1,3,1,0.97,142.0,1.0,4.0,52.0,1.5850024223327637
0,0,12,1,3,1,0.975,146.0,2.0,2.0,49.0,1.561997413635254
0,0,13,1,3,1,0.975,139.0,1.0,3.0,56.0,1.6700012683868408
0,0,14,1,3,1,0.975,150.0,1.0,3.0,45.0,1.7329962253570557
0,0,15,1,3,1,0.955,132.0,3.0,5.0,59.0,1.656999111175537
0,0,16,1,3,1,0.97,135.0,4.0,1.0,59.0,1.5640037059783936
0,0,17,1,3,1,0.98,138.0,1.0,2.0,58.0,1.5529963970184326
0,0,18,1,3,1,0.975,140.0,2.0,2.0,55.0,1.5519678592681885
0,0,19,1,3,1,0.97,157.0,1.0,4.0,37.0,1.5500001907348633
0,0,20,1,3,1,0.975,145.0,2.0,2.0,50.0,1.685997724533081
0,0,21,1,3,1,0.965,148.0,2.0,4.0,45.0,1.6300342082977295
0,0,22,1,3,1,0.975,154.0,1.0,3.0,41.0,1.6529669761657715
0,0,23,1,3,1,0.97,146.0,2.0,3.0,48.0,1.6200823783874512
0,0,24,1,3,1,0.98,146.0,1.0,2.0,50.0,1.5560412406921387
0,1,0,1,4,1,0.94,135.0,3.0,8.0,53.0,2.755946636199951
0,1,1,1,4,1,0.95,145.0,3.0,6.0,45.0,2.866034507751465
0,1,2,1,4,1,0.97,135.0,1.0,4.0,59.0,3.007002115249634
0,1,3,1,4,1,0.965,135.0,4.0,2.0,58.0,3.2210023403167725
0,1,4,1,4,1,0.92,127.0,3.0,12.0,57.0,2.8460333347320557
0,1,5,1,4,1,0.97,141.0,3.0,2.0,53.0,3.254002094268799
0,1,6,1,4,1,0.95,127.0,4.0,5.0,63.0,2.9720327854156494
0,1,7,1,4,1,0.945,131.0,3.0,7.0,58.0,3.314999580383301
0,1,8,1,4,1,0.96,135.0,3.0,4.0,57.0,3.031965732574463
0,1,9,1,4,1,0.965,154.0,5.0,1.0,39.0,3.0230276584625244
0,1,10,1,4,1,0.965,138.0,2.0,4.0,55.0,2.7649953365325928
0,1,11,1,4,1,0.97,134.0,1.0,4.0,60.0,3.1220359802246094
0,1,12,1,4,1,0.955,128.0,3.0,5.0,63.0,2.861999988555908
0,1,13,1,4,1,0.96,127.0,6.0,1.0,65.0,2.8830032348632812
0,1,14,1,4,1,0.98,134.0,1.0,2.0,62.0,2.698998212814331
0,1,15,1,4,1,0.945,137.0,4.0,6.0,52.0,3.18896746635437
0,1,16,1,4,1,0.95,134.0,3.0,6.0,56.0,3.172034978866577
0,1,17,1,4,1,0.94,134.0,4.0,7.0,54.0,2.9969677925109863
0,1,18,1,4,1,0.96,128.0,4.0,3.0,64.0,2.800966262817383
0,1,19,1,4,1,0.96,136.0,2.0,5.0,56.0,3.120051383972168
0,1,20,1,4,1,0.935,128.0,7.0,5.0,59.0,3.1440019607543945
0,1,21,1,4,1,0.94,144.0,6.0,5.0,44.0,2.876964569091797
0,1,22,1,4,1,0.935,130.0,4.0,8.0,57.0,3.1400294303894043
0,1,23,1,4,1,0.95,118.0,2.0,7.0,72.0,3.1999671459198
0,1,24,1,4,1,0.96,131.0,3.0,4.0,61.0,3.147002696990967
0,2,0,1,5,1,0.955,60.0,3.0,5.0,131.0,4.083029747009277
0,2,1,1,5,1,0.92,66.0,14.0,1.0,118.0,4.010032415390015
0,2,2,1,5,1,0.955,58.0,7.0,1.0,133.0,3.9509973526000977
0,2,3,1,5,1,0.95,62.0,7.0,2.0,128.0,3.7619991302490234
0,2,4,1,5,1,0.965,57.0,5.0,1.0,136.0,4.215031862258911
0,2,5,1,5,1,0.97,58.0,5.0,0.0,136.0,3.7569937705993652
0,2,6,1,5,1,0.97,58.0,5.0,0.0,136.0,3.670999765396118
