type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,0,0,1,3,1,0.985,170.0,0.0,1.0,27.0,0.4567131996154785
0,0,1,1,3,1,0.985,172.0,0.0,1.0,25.0,0.47566843032836914
0,0,2,1,3,1,0.985,167.0,0.0,1.0,30.0,0.5445826053619385
0,0,3,1,3,1,0.985,165.0,0.0,1.0,32.0,0.4879782199859619
0,0,4,1,3,1,0.985,169.0,0.0,1.0,28.0,0.5360097885131836
0,0,5,1,3,1,0.985,176.0,0.0,1.0,21.0,0.475414514541626
0,0,6,1,3,1,0.985,169.0,1.0,0.0,28.0,0.43439793586730957
0,0,7,1,3,1,0.985,176.0,0.0,1.0,21.0,0.3632469177246094
0,0,8,1,3,1,0.985,168.0,0.0,1.0,29.0,0.3513827323913574
0,0,9,1,3,1,0.985,175.0,0.0,1.0,22.0,0.33748579025268555
0,0,10,1,3,1,0.985,168.0,0.0,1.0,29.0,0.3310205936431885
0,0,11,1,3,1,0.985,173.0,0.0,1.0,24.0,0.3220067024230957
0,0,12,1,3,1,0.985,167.0,0.0,1.0,30.0,0.3457953929901123
0,0,13,1,3,1,0.985,165.0,0.0,1.0,32.0,0.3370473384857178
0,0,14,1,3,1,0.985,166.0,1.0,0.0,31.0,0.3396124839782715
0,0,15,1,3,1,0.985,172.0,0.0,1.0,25.0,0.3311326503753662
0,0,16,1,3,1,0.985,166.0,1.0,0.0,31.0,0.3440852165222168
0,0,17,1,3,1,0.985,167.0,0.0,1.0,30.0,0.33014345169067383
0,0,18,1,3,1,0.985,179.0,0.0,1.0,18.0,0.4550001621246338
0,0,19,1,3,1,0.985,169.0,1.0,0.0,28.0,0.4519956111907959
0,0,20,1,3,1,0.985,174.0,0.0,1.0,23.0,0.47403407096862793
0,0,21,1,3,1,0.985,169.0,0.0,1.0,28.0,0.40208888053894043
0,0,22,1,3,1,0.985,175.0,0.0,1.0,22.0,0.3780965805053711
0,0,23,1,3,1,0.98,165.0,2.0,0.0,31.0,0.3984794616699219
0,0,24,1,3,1,0.985,170.0,0.0,1.0,27.0,0.3725101947784424
0,1,0,1,4,1,0.985,192.0,0.0,1.0,5.0,0.3702661991119385
0,1,1,1,4,1,0.985,192.0,0.0,1.0,5.0,0.3498404026031494
0,1,2,1,4,1,0.985,192.0,0.0,1.0,5.0,0.35250210762023926
0,1,3,1,4,1,0.985,194.0,0.0,1.0,3.0,0.34975099563598633
0,1,4,1,4,1,0.985,191.0,0.0,1.0,6.0,0.3397786617279053
0,1,5,1,4,1,0.985,193.0,0.0,1.0,4.0,0.3530402183532715
0,1,6,1,4,1,0.985,194.0,0.0,1.0,3.0,0.37708330154418945
0,1,7,1,4,1,0.985,190.0,0.0,1.0,7.0,0.38117218017578125
0,1,8,1,4,1,0.985,193.0,0.0,1.0,4.0,0.3685135841369629
0,1,9,1,4,1,0.985,191.0,0.0,1.0,6.0,0.3417847156524658
0,1,10,1,4,1,0.985,195.0,0.0,1.0,2.0,0.36480712890625
0,1,11,1,4,1,0.985,195.0,0.0,1.0,2.0,0.4610013961791992
0,1,12,1,4,1,0.985,190.0,0.0,1.0,7.0,0.40256667137145996
0,1,13,1,4,1,0.985,195.0,0.0,1.0,2.0,0.3980581760406494
0,1,14,1,4,1,0.985,186.0,0.0,1.0,11.0,0.3562471866607666
0,1,15,1,4,1,0.985,192.0,0.0,1.0,5.0,0.34496426582336426
0,1,16,1,4,1,0.985,190.0,0.0,1.0,7.0,0.35758209228515625
0,1,17,1,4,1,0.985,193.0,0.0,1.0,4.0,0.3559300899505615
0,1,18,1,4,1,0.985,190.0,0.0,1.0,7.0,0.3399991989135742
0,1,19,1,4,1,0.985,195.0,0.0,1.0,2.0,0.3680284023284912
0,1,20,1,4,1,0.985,187.0,0.0,1.0,10.0,0.3763248920440674
0,1,21,1,4,1,0.985,187.0,0.0,1.0,10.0,0.34728074073791504
0,1,22,1,4,1,0.985,191.0,0.0,1.0,6.0,0.35530757904052734
0,1,23,1,4,1,0.985,194.0,0.0,1.0,3.0,0.3690962791442871
0,1,24,1,4,1,0.985,194.0,0.0,1.0,3.0,0.3599083423614502
0,2,0,1,5,1,0.985,6.0,1.0,0.0,191.0,0.34416937828063965
0,2,1,1,5,1,0.985,5.0,1.0,0.0,192.0,0.35439610481262207
0,2,2,1,5,1,0.985,6.0,1.0,0.0,191.0,0.38290858268737793
0,2,3,1,5,1,0.985,8.0,1.0,0.0,189.0,0.3516676425933838
0,2,4,1,5,1,0.985,10.0,1.0,0.0,187.0,0.3523125648498535
0,2,5,1,5,1,0.985,6.0,1.0,0.0,191.0,0.35205841064453125
0,2,6,1,5,1,0.985,2.0,1.0,0.0,195.0,0.41403794288635254
0,2,7,1,5,1,0.985,5.0,1.0,0.0,192.0,0.38193416595458984
0,2,8,1,5,1,0.985,5.0,1.0,0.0,192.0,0.37779736518859863
0,2,9,1,5,1,0.985,6.0,1.0,0.0,191.0,0.3576061725616455
0,2,10,1,5,1,0.985,4.0,1.0,0.0,193.0,0.34629368782043457
0,2,11,1,5,1,0.98,5.0,1.0,1.0,191.0,0.346005916595459
0,2,12,1,5,1,0.985,4.0,1.0,0.0,193.0,0.35684847831726074
0,2,13,1,5,1,0.985,7.0,1.0,0.0,190.0,0.3516566753387451
0,2,14,1,5,1,0.985,6.0,1.0,0.0,191.0,0.3539555072784424
0,2,15,1,5,1,0.985,7.0,1.0,0.0,190.0,0.35910558700561523
0,2,16,1,5,1,0.985,4.0,1.0,0.0,193.0,0.3584938049316406
0,2,17,1,5,1,0.985,5.0,1.0,0.0,192.0,0.35552477836608887
0,2,18,1,5,1,0.985,10.0,1.0,0.0,187.0,0.34612083435058594
0,2,19,1,5,1,0.985,2.0,1.0,0.0,195.0,0.3990151882171631
0,2,20,1,5,1,0.985,14.0,1.0,0.0,183.0,0.3682525157928467
0,2,21,1,5,1,0.985,6.0,1.0,0.0,191.0,0.3542797565460205
0,2,22,1,5,1,0.985,7.0,1.0,0.0,190.0,0.3670225143432617
0,2,23,1,5,1,0.985,7.0,1.0,0.0,190.0,0.3957555294036865
0,2,24,1,5,1,0.985,6.0,0.0,1.0,191.0,0.352938175201416
0,3,0,1,6,1,0.985,86.0,1.0,0.0,111.0,0.34853577613830566
0,3,1,1,6,1,0.98,105.0,1.0,1.0,91.0,0.3500831127166748
0,3,2,1,6,1,0.975,94.0,2.0,1.0,101.0,0.3557252883911133
